platform,topology,scheduler,run,transactions,successes,success_rate,error_rate,timeouts,retransmissions,retransmission_rate,elapsed_ms,throughput_transactions_per_s,mean_rtt_ms,p50_rtt_ms,p95_rtt_ms,p99_rtt_ms,max_rtt_ms
atk-dlrk3588,communication-share,fp-rr,1,200,200,1.0,0.0,0,0,0.0,6314,31.675,31.565,30.0,40,41,130
atk-dlrk3588,communication-share,fp-rr,2,200,200,1.0,0.0,0,0,0.0,6241,32.046,31.200,30.0,40,41,130
atk-dlrk3588,communication-share,fp-rr,3,200,200,1.0,0.0,0,0,0.0,6293,31.781,31.460,30.0,40,41,131
atk-dlrk3588,communication-share,fp-rr,aggregate,600,600,1.0,0.0,0,0,0.0,18848,31.834,31.408,30.0,40,41,131
