sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
163,1640245833,9420000083,9420245916,245833
164,1650507250,9430000083,9430507333,507250
165,1660245708,9440000083,9440245791,245708
166,1670246375,9450000083,9450246458,246375
167,1680242958,9460000083,9460243041,242958
168,1690244208,9470000083,9470244291,244208
169,1700248375,9480000083,9480248458,248375
170,1710245541,9490000083,9490245625,245542
171,1720244166,9500000083,9500244250,244167
172,1730243958,9510000083,9510244041,243958
173,1740243750,9520000083,9520243833,243750
174,1750244708,9530000083,9530244791,244708
175,1760247708,9540000083,9540247791,247708
176,1770244000,9550000083,9550244083,244000
177,1780243791,9560000083,9560243875,243792
178,1790243583,9570000083,9570243666,243583
179,1800243083,9580000083,9580243166,243083
180,1810257750,9590000083,9590257833,257750
181,1820242958,9600000083,9600243041,242958
182,1830243333,9610000083,9610243416,243333
183,1840244000,9620000083,9620244083,244000
184,1850254875,9630000083,9630254958,254875
185,1860246500,9640000083,9640246583,246500
186,1870248041,9650000083,9650248125,248042
187,1880243458,9660000083,9660243541,243458
188,1890243541,9670000083,9670243625,243542
189,1900243333,9680000083,9680243416,243333
190,1910253041,9690000083,9690253125,253042
191,1920249041,9700000083,9700249125,249042
192,1930244458,9710000083,9710244541,244458
193,1940246291,9720000083,9720246375,246292
194,1950243750,9730000083,9730243833,243750
195,1960243833,9740000083,9740243916,243833
196,1970243916,9750000083,9750244000,243917
197,1980243708,9760000083,9760243791,243708
198,1990245541,9770000083,9770245625,245542
199,2000243875,9780000083,9780243958,243875
200,2010243958,9790000083,9790244041,243958
201,2020244625,9800000083,9800244708,244625
202,2030251708,9810000083,9810251791,251708
203,2040248000,9820000083,9820248083,248000
204,2050249250,9830000083,9830249333,249250
205,2060251083,9840000083,9840251166,251083
206,2070250291,9850000083,9850250375,250292
207,2080249208,9860000083,9860249291,249208
208,2090415541,9870000083,9870415625,415542
209,2100320250,9880000083,9880320333,320250
210,2110249166,9890000083,9890249250,249167
211,2120241666,9900000083,9900241750,241667
212,2130246125,9910000083,9910246208,246125
213,2140245625,9920000083,9920245708,245625
214,2150243958,9930000083,9930244041,243958
215,2160244041,9940000083,9940244125,244042
216,2170247041,9950000083,9950247125,247042
217,2180243916,9960000083,9960244000,243917
218,2190244875,9970000083,9970244958,244875
219,2200243208,9980000083,9980243291,243208
220,2210243875,9990000083,9990243958,243875
221,2220245416,10000000083,10000245500,245417
222,2230246083,10010000083,10010246166,246083
223,2240246750,10020000083,10020246833,246750
224,2250248291,10030000083,10030248375,248292
225,2260248958,10040000083,10040249041,248958
226,2270248458,10050000083,10050248541,248458
227,2280250583,10060000083,10060250666,250583
228,2290249791,10070000083,10070249875,249792
229,2300251333,10080000083,10080251416,251333
230,2310238875,10090000083,10090238958,238875
231,2320712041,10100000083,10100712125,712042
232,2330245166,10110000083,10110245250,245167
233,2340245833,10120000083,10120245916,245833
234,2350247083,10130000083,10130247166,247083
235,2360243666,10140000083,10140243750,243667
236,2370248708,10150000083,10150248791,248708
237,2380246166,10160000083,10160246250,246167
238,2390245958,10170000083,10170246041,245958
239,2400247791,10180000083,10180247875,247792
240,2410248166,10190000083,10190248250,248167
241,2420247666,10200000083,10200247750,247667
242,2430251833,10210000083,10210251916,251833
243,2440249583,10220000083,10220249666,249583
244,2450249958,10230000083,10230250041,249958
245,2460250041,10240000083,10240250125,250042
246,2470655833,10250000083,10250655916,655833
247,2480317291,10260000083,10260317375,317292
248,2490248833,10270000083,10270248916,248833
249,2500246291,10280000083,10280246375,246292
250,2510246083,10290000083,10290246166,246083
251,2520249083,10300000083,10300249166,249083
252,2530246250,10310000083,10310246333,246250
253,2540248958,10320000083,10320249041,248958
254,2550245541,10330000083,10330245625,245542
255,2560246500,10340000083,10340246583,246500
256,2570241916,10350000083,10350242000,241917
257,2580247833,10360000083,10360247916,247833
258,2590245875,10370000083,10370245958,245875
259,2600248000,10380000083,10380248083,248000
260,2610246041,10390000083,10390246125,246042
261,2620245541,10400000083,10400245625,245542
262,2630245916,10410000083,10410246000,245917
263,2640246583,10420000083,10420246666,246583
264,2650245500,10430000083,10430245583,245500
265,2660247041,10440000083,10440247125,247042
266,2670249166,10450000083,10450249250,249167
267,2680249250,10460000083,10460249333,249250
268,2690251375,10470000083,10470251458,251375
269,2700250291,10480000083,10480250375,250292
270,2710252125,10490000083,10490252208,252125
