scheduler,runs,median_samples,median_runtime_seconds,median_mean_ns,median_p50_ns,median_p99_ns,median_p99_9_ns,median_max_ns,median_over_1ms,median_over_10ms,median_deadline_misses,median_inference_samples,median_inference_mean_us,median_inference_p95_us,median_inference_p99_us,median_inference_max_us,median_inferences_per_minute
rr,3,6000,60.0,278343,248875,620875,7816167,9121958,15,0,0,0,,,,,
fp-rr,3,6000,60.0,241881,238917,277833,748250,1133625,1,0,0,0,,,,,
